create vmware backup job
create proxmox backup job
run job
wait for job to finish
verify backup object
remove the job
wait for it to finish
validate vmware backup HodAdd mode
go to dashboard page
validate vmware backup SAN mode
validate vmware backup LAN mode
select vmware job type
select vmware destination
select vmware schedule
select vmware retention
select vmware options
remove reocvery point from repo
remvoe backup keep recovery point
create backup to existing backup
validate create backup exist
create vmware replica job
verify replica job
create recovery job
run recovery job
